date,numbers,bonus
2026-03-25,"[15, 16, 17, 23, 46, 49]",13
2026-03-21,"[2, 11, 22, 24, 34, 37]",20
2026-03-18,"[12, 18, 31, 45, 47, 49]",32
2026-03-14,"[8, 14, 30, 35, 36, 48]",4
2026-03-11,"[12, 20, 31, 34, 35, 40]",30
2026-03-07,"[2, 4, 11, 12, 31, 32]",45
2026-03-04,"[2, 19, 30, 34, 38, 48]",4
2026-02-28,"[2, 6, 9, 12, 24, 41]",44
2026-02-25,"[2, 19, 27, 30, 42, 49]",11
2026-02-21,"[4, 5, 17, 26, 43, 48]",9
2026-02-18,"[7, 13, 21, 22, 27, 36]",35
2026-02-14,"[2, 7, 26, 31, 33, 34]",37
2026-02-11,"[19, 22, 27, 36, 38, 41]",33
2026-02-07,"[10, 11, 16, 33, 40, 42]",45
2026-02-04,"[11, 19, 27, 31, 38, 44]",39
2026-01-31,"[5, 12, 17, 25, 39, 40]",45
2026-01-28,"[8, 11, 16, 26, 39, 42]",28
2026-01-24,"[26, 37, 38, 41, 43, 46]",30
2026-01-21,"[7, 24, 26, 28, 30, 40]",3
2026-01-17,"[11, 16, 33, 41, 47, 49]",42
2026-01-14,"[12, 19, 23, 24, 26, 42]",45
2026-01-10,"[5, 21, 27, 41, 42, 46]",28
2026-01-07,"[8, 19, 26, 30, 37, 41]",19
2026-01-03,"[5, 18, 20, 33, 37, 44]",31
2025-12-31,"[17, 19, 21, 26, 38, 44]",8
2025-12-27,"[13, 14, 24, 32, 36, 43]",1
2025-12-24,"[17, 22, 30, 37, 41, 44]",28
2025-12-20,"[4, 6, 10, 12, 26, 44]",13
2025-12-17,"[2, 17, 38, 40, 45, 46]",8
2025-12-13,"[5, 12, 15, 18, 21, 49]",30
2025-12-10,"[11, 17, 31, 35, 39, 42]",19
2025-12-06,"[1, 8, 11, 26, 37, 43]",5
2025-12-03,"[2, 10, 11, 35, 44, 47]",4
2025-11-29,"[5, 7, 8, 18, 28, 35]",44
2025-11-26,"[6, 11, 32, 35, 43, 45]",10
2025-11-22,"[27, 32, 34, 36, 45, 47]",15
2025-11-19,"[4, 8, 15, 18, 37, 45]",38
2025-11-15,"[2, 5, 6, 7, 33, 39]",14
2025-11-12,"[4, 12, 16, 42, 46, 47]",45
2025-11-08,"[4, 21, 22, 26, 34, 38]",11
2025-11-05,"[5, 12, 15, 21, 25, 27]",12
2025-11-01,"[9, 17, 18, 27, 33, 46]",8
2025-10-29,"[21, 28, 29, 45, 46, 48]",12
2025-10-25,"[5, 19, 21, 41, 46, 49]",42
2025-10-22,"[10, 16, 21, 22, 29, 33]",7
2025-10-18,"[1, 3, 16, 25, 35, 46]",47
2025-10-15,"[5, 6, 10, 15, 21, 34]",31
2025-10-11,"[22, 24, 27, 41, 43, 49]",15
2025-10-08,"[6, 22, 24, 40, 46, 48]",49
2025-10-04,"[3, 9, 15, 17, 42, 45]",16
2025-10-01,"[6, 15, 19, 22, 24, 35]",31
2025-09-27,"[4, 15, 22, 27, 32, 36]",45
2025-09-24,"[9, 19, 25, 29, 34, 35]",37
2025-09-20,"[19, 36, 38, 39, 41, 42]",46
2025-09-17,"[4, 8, 11, 14, 29, 35]",45
2025-09-13,"[8, 12, 17, 36, 37, 45]",5
2025-09-10,"[4, 11, 16, 27, 29, 35]",20
2025-09-06,"[10, 19, 29, 43, 47, 48]",22
2025-09-03,"[4, 8, 22, 32, 33, 43]",49
2025-08-30,"[8, 15, 19, 36, 47, 49]",22
2025-08-27,"[8, 10, 14, 26, 31, 43]",18
2025-08-23,"[11, 24, 25, 26, 27, 42]",31
2025-08-20,"[1, 18, 30, 32, 36, 43]",4
2025-08-16,"[6, 19, 23, 24, 40, 44]",48
2025-08-13,"[5, 22, 23, 32, 36, 39]",35
2025-08-09,"[2, 7, 11, 21, 37, 39]",32
2025-08-06,"[4, 5, 8, 16, 36, 49]",1
2025-08-02,"[1, 6, 16, 30, 43, 49]",38
2025-07-30,"[3, 9, 27, 45, 47, 49]",16
2025-07-26,"[4, 18, 22, 28, 39, 47]",14
2025-07-23,"[3, 25, 26, 43, 45, 47]",17
2025-07-19,"[2, 3, 9, 19, 27, 46]",29
2025-07-16,"[15, 30, 37, 42, 43, 47]",10
2025-07-12,"[5, 12, 13, 16, 33, 48]",35
2025-07-09,"[20, 23, 25, 36, 47, 48]",35
2025-07-05,"[3, 12, 17, 28, 32, 36]",39
2025-07-02,"[2, 19, 40, 42, 46, 47]",43
2025-06-28,"[19, 23, 27, 36, 41, 44]",29
2025-06-25,"[4, 7, 20, 21, 39, 46]",35
2025-06-21,"[10, 13, 30, 37, 39, 45]",24
2025-06-18,"[9, 10, 16, 30, 35, 46]",18
2025-06-14,"[9, 27, 29, 41, 48, 49]",28
2025-06-11,"[11, 20, 27, 34, 37, 46]",3
2025-06-07,"[8, 10, 20, 23, 28, 44]",37
2025-06-04,"[17, 27, 30, 37, 43, 47]",33
2025-05-31,"[1, 25, 32, 36, 39, 46]",44
2025-05-28,"[1, 8, 12, 13, 14, 27]",23
2025-05-24,"[10, 11, 16, 19, 32, 41]",21
2025-05-21,"[1, 2, 4, 31, 36, 44]",42
2025-05-17,"[7, 11, 18, 31, 37, 49]",20
2025-05-14,"[4, 6, 9, 14, 45, 49]",42
2025-05-10,"[10, 11, 21, 28, 29, 33]",49
2025-05-07,"[9, 20, 21, 28, 41, 49]",31
2025-05-03,"[3, 7, 17, 20, 26, 31]",49
2025-04-30,"[4, 5, 11, 27, 29, 41]",13
2025-04-26,"[1, 14, 30, 41, 48, 49]",32
2025-04-23,"[5, 15, 16, 18, 27, 30]",46
2025-04-19,"[15, 17, 19, 23, 40, 43]",18
2025-04-16,"[8, 18, 23, 24, 38, 41]",11
2025-04-12,"[8, 11, 19, 29, 30, 43]",45
2025-04-09,"[8, 19, 28, 31, 33, 43]",9
2025-04-05,"[5, 12, 16, 24, 30, 40]",19
2025-04-02,"[1, 18, 19, 40, 46, 47]",45
2025-03-29,"[13, 17, 27, 34, 38, 49]",33
